2020-06-27 17:18:30,834 INFO __main__ center:640   x_medium: 547  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:30,834 INFO __main__ centerY:360   y_medium: 315  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:30,938 INFO __main__ center:640   x_medium: 575  <max 475 |mid 420 | min 300> Position: 436
2020-06-27 17:18:30,938 INFO __main__ centerY:360   y_medium: 373  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:31,002 INFO __main__ center:640   x_medium: 568  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:31,002 INFO __main__ centerY:360   y_medium: 379  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:31,259 INFO __main__ center:640   x_medium: 615  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:31,259 INFO __main__ centerY:360   y_medium: 400  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:31,512 INFO __main__ center:640   x_medium: 670  <max 475 |mid 420 | min 300> Position: 420
2020-06-27 17:18:31,512 INFO __main__ centerY:360   y_medium: 451  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:31,565 INFO __main__ center:640   x_medium: 671  <max 475 |mid 420 | min 300> Position: 418
2020-06-27 17:18:31,565 INFO __main__ centerY:360   y_medium: 473  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:31,821 INFO __main__ center:640   x_medium: 660  <max 475 |mid 420 | min 300> Position: 418
2020-06-27 17:18:31,821 INFO __main__ centerY:360   y_medium: 470  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:31,935 INFO __main__ center:640   x_medium: 678  <max 475 |mid 420 | min 300> Position: 416
2020-06-27 17:18:31,936 INFO __main__ centerY:360   y_medium: 472  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:32,002 INFO __main__ center:640   x_medium: 691  <max 475 |mid 420 | min 300> Position: 414
2020-06-27 17:18:32,003 INFO __main__ centerY:360   y_medium: 450  <max 375 |mid 350 | min 200> PositionY: 356
2020-06-27 17:18:32,061 INFO __main__ center:640   x_medium: 717  <max 475 |mid 420 | min 300> Position: 412
2020-06-27 17:18:32,061 INFO __main__ centerY:360   y_medium: 354  <max 375 |mid 350 | min 200> PositionY: 358
2020-06-27 17:18:32,116 INFO __main__ center:640   x_medium: 717  <max 475 |mid 420 | min 300> Position: 410
2020-06-27 17:18:32,116 INFO __main__ centerY:360   y_medium: 354  <max 375 |mid 350 | min 200> PositionY: 358
2020-06-27 17:18:32,172 INFO __main__ center:640   x_medium: 418  <max 475 |mid 420 | min 300> Position: 412
2020-06-27 17:18:32,172 INFO __main__ centerY:360   y_medium: 290  <max 375 |mid 350 | min 200> PositionY: 358
2020-06-27 17:18:32,230 INFO __main__ center:640   x_medium: 429  <max 475 |mid 420 | min 300> Position: 414
2020-06-27 17:18:32,230 INFO __main__ centerY:360   y_medium: 296  <max 375 |mid 350 | min 200> PositionY: 356
2020-06-27 17:18:32,286 INFO __main__ center:640   x_medium: 428  <max 475 |mid 420 | min 300> Position: 416
2020-06-27 17:18:32,286 INFO __main__ centerY:360   y_medium: 300  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:32,343 INFO __main__ center:640   x_medium: 384  <max 475 |mid 420 | min 300> Position: 418
